constructo,cond,id_celda_real,variante,nulo,canal,k,estimador,n_trazas,n_pares,im_obs,umbral_p95,nulo_media,nulo_sd,p_perm,rechaza,p_holm,confirma
E215C,10uM,0,centros_4_8_16,paridad,dwell,4,plugin,194,1287,0.023361,0.0151764,0.0094343,0.00320965,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,dwell,4,mm,194,1287,0.0183167,0.010132,0.00438992,0.00320965,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,dwell,4,pt,194,1287,0.0183167,0.010132,0.00438992,0.00320965,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,dwell,4,nsb,194,1287,0.0151466,0.00702496,0.00253134,0.00230205,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,paso,4,plugin,194,1287,0.0964703,0.0305262,0.021803,0.00521781,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,paso,4,mm,194,1287,0.0942284,0.0282843,0.0195611,0.00521781,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,paso,4,pt,194,1287,0.0942284,0.0282843,0.0195611,0.00521781,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,paso,4,nsb,194,1287,0.0931894,0.0275626,0.0189397,0.00519056,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,dwell_paso,4,plugin,194,1287,0.163801,0.0154398,0.00879434,0.00369834,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,dwell_paso,4,mm,194,1287,0.160439,0.0120769,0.00543141,0.00369834,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,dwell_paso,4,pt,194,1287,0.160439,0.0120769,0.00543141,0.00369834,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,dwell_paso,4,nsb,194,1287,0.157959,0.010615,0.00398631,0.00367941,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,evento,8,plugin,194,1287,0.634621,0.370716,0.342963,0.0159869,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,evento,8,mm,194,1287,0.487773,0.205321,0.174823,0.0180153,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,evento,8,pt,194,1287,0.398095,0.110772,0.0769616,0.0201006,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,evento,8,nsb,194,1287,0.387588,0.103819,0.0723447,0.0185657,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,dwell,8,plugin,194,1287,0.0652281,0.042227,0.0322901,0.00580349,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,dwell,8,mm,194,1287,0.0377642,0.0147631,0.00482619,0.00580349,0.000999001,True,0.002997,True
E215C,10uM,0,centros_4_8_16,paridad,dwell,8,pt,194,1287,0.0377642,0.0147631,0.00482619,0.00580349,0.000999001,True,0.002997,True
