constructo,cond,im_real,im_surr_p50,im_surr_p95,p_artefacto,corr_lag1_real,corr_lag1_surr_p50,n_pares_real,n_pares_surr_p50,artefacto_descartado
E215C,10uM,0.0191273,-9.17189e-05,0.00204866,0.00497512,-0.131532,-0.1066,2556,2848.5,True
E215C,100uM,0.0370586,-0.000203517,0.00684116,0.00497512,0.0253769,-0.0984856,818,806.5,True
E215C,1mM,0.00966476,-0.000329664,0.00531659,0.00497512,-0.121479,-0.101675,1212,1197,True
K28C,10uM,0.00592326,0.000149398,0.00335298,0.00497512,-0.101911,-0.0787411,2035,2058,True
K28C,100uM,0.00191785,0.000345916,0.00923385,0.402985,-0.18967,-0.0911147,673,701,False
K28C,1mM,0.00372039,-0.00060643,0.00403219,0.0646766,-0.0832182,-0.0750365,1374,1247,False
T324C,10uM,0.00148145,6.20462e-05,0.00126328,0.0348259,-0.118902,-0.0888001,5264,5384.5,True
T324C,1mM,0.0136876,-1.23893e-05,0.00128863,0.00497512,-0.163299,-0.0931886,4658,4616.5,True
