id_sint,id_celda_real,constructo,cond,forma_gamma,mezcla,id_cond,modo,delta,rho,canal,k,estimador,n_replicas,tasa
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,evento,4,pt,500,0.842
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,evento,4,nsb,500,0.848
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,evento,8,plugin,500,0.506
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,evento,8,mm,500,0.502
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,evento,8,pt,500,0.506
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,evento,8,nsb,500,0.5
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,dwell,4,plugin,500,1
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,dwell,4,mm,500,1
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,dwell,4,pt,500,1
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,dwell,4,nsb,500,1
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,dwell,8,plugin,500,0.992
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,dwell,8,mm,500,0.992
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,dwell,8,pt,500,0.992
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,dwell,8,nsb,500,0.988
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,paso,4,plugin,500,0.058
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,paso,4,mm,500,0.058
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,paso,4,pt,500,0.058
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,paso,4,nsb,500,0.058
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,paso,8,plugin,500,0.058
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,paso,8,mm,500,0.058
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,paso,8,pt,500,0.058
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,paso,8,nsb,500,0.058
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,dwell_paso,4,plugin,500,0.06
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,dwell_paso,4,mm,500,0.06
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,dwell_paso,4,pt,500,0.06
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,dwell_paso,4,nsb,500,0.058
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,dwell_paso,8,plugin,500,0.048
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,dwell_paso,8,mm,500,0.048
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,dwell_paso,8,pt,500,0.048
0,0,E215C,10uM,1,equilibrada,5,limping,0.5,0,dwell_paso,8,nsb,500,0.044
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,evento,4,plugin,500,0.08
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,evento,4,mm,500,0.082
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,evento,4,pt,500,0.082
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,evento,4,nsb,500,0.082
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,evento,8,plugin,500,0.064
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,evento,8,mm,500,0.06
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,evento,8,pt,500,0.064
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,evento,8,nsb,500,0.058
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,dwell,4,plugin,500,0.132
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,dwell,4,mm,500,0.132
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,dwell,4,pt,500,0.132
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,dwell,4,nsb,500,0.132
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,dwell,8,plugin,500,0.118
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,dwell,8,mm,500,0.118
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,dwell,8,pt,500,0.118
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,dwell,8,nsb,500,0.118
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,paso,4,plugin,500,0.04
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,paso,4,mm,500,0.04
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,paso,4,pt,500,0.04
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,paso,4,nsb,500,0.044
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,paso,8,plugin,500,0.04
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,paso,8,mm,500,0.04
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,paso,8,pt,500,0.04
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,paso,8,nsb,500,0.044
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,dwell_paso,4,plugin,500,0.048
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,dwell_paso,4,mm,500,0.048
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,dwell_paso,4,pt,500,0.048
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,dwell_paso,4,nsb,500,0.05
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,dwell_paso,8,plugin,500,0.08
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,dwell_paso,8,mm,500,0.08
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,dwell_paso,8,pt,500,0.08
0,0,E215C,10uM,1,equilibrada,6,ar1,0,0.05,dwell_paso,8,nsb,500,0.08
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,evento,4,plugin,500,0.154
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,evento,4,mm,500,0.152
0,0,E215C,10uM,1,equilibrada,7,ar1,0,0.1,evento,4,pt,500,0.152
